TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,STAGE0000000019,
  0.9999995E+00,  0.6945014E-02,         1,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1230875E+01,  0.1230875E+01,  0.1230875E+01,  0.1230875E+01,  0.1230875E+01,  0.1230875E+01,  0.1230875E+01,  0.1230875E+01,  0.9958359E+00,  0.9958359E+00,  0.5006891E+00,  0.5006885E+00,  0.7004278E+00,
  0.2000000E+01,  0.6945252E-02,         2,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1225934E+01,  0.1225934E+01,  0.1225934E+01,  0.1225934E+01,  0.1225934E+01,  0.1225934E+01,  0.1225934E+01,  0.1225934E+01,  0.9916796E+00,  0.9916796E+00,  0.5005710E+00,  0.5005706E+00,  0.7003961E+00,
  0.2999999E+01,  0.6944656E-02,         3,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.9875179E+00,  0.9875179E+00,  0.5004195E+00,  0.5004192E+00,  0.7003520E+00,
  0.4000000E+01,  0.6944656E-02,         4,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1202883E+01,  0.1202883E+01,  0.1202883E+01,  0.1202883E+01,  0.1202883E+01,  0.1202883E+01,  0.1202883E+01,  0.1202883E+01,  0.9833495E+00,  0.9833495E+00,  0.5003096E+00,  0.5003095E+00,  0.7003123E+00,
  0.5000006E+01,  0.6951332E-02,         5,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1193127E+01,  0.1193127E+01,  0.1193127E+01,  0.1193127E+01,  0.1193127E+01,  0.1193127E+01,  0.1193127E+01,  0.1193127E+01,  0.9791754E+00,  0.9791754E+00,  0.5002138E+00,  0.5002138E+00,  0.7002720E+00,
  0.6000005E+01,  0.6951332E-02,         6,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1184064E+01,  0.1184064E+01,  0.1184064E+01,  0.1184064E+01,  0.1184064E+01,  0.1184064E+01,  0.1184064E+01,  0.1184064E+01,  0.9749973E+00,  0.9749973E+00,  0.5001010E+00,  0.5001010E+00,  0.7002303E+00,
  0.7000004E+01,  0.6951332E-02,         7,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1184559E+01,  0.1184559E+01,  0.1184559E+01,  0.1184559E+01,  0.1184559E+01,  0.1184559E+01,  0.1184559E+01,  0.1184559E+01,  0.9711978E+00,  0.9711978E+00,  0.4998657E+00,  0.4998657E+00,  0.7001897E+00,
  0.8000003E+01,  0.6951332E-02,         8,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1175274E+01,  0.1175274E+01,  0.1175274E+01,  0.1175274E+01,  0.1175274E+01,  0.1175274E+01,  0.1175274E+01,  0.1175274E+01,  0.9670153E+00,  0.9670153E+00,  0.4993748E+00,  0.4993748E+00,  0.7001404E+00,
  0.8999990E+01,  0.6937981E-02,         9,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1166698E+01,  0.1166698E+01,  0.1166698E+01,  0.1166698E+01,  0.1166698E+01,  0.1166698E+01,  0.1166698E+01,  0.1166698E+01,  0.9628312E+00,  0.9628312E+00,  0.4984277E+00,  0.4984276E+00,  0.7000886E+00,
  0.9999992E+01,  0.6937981E-02,        10,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1158630E+01,  0.1158630E+01,  0.1158630E+01,  0.1158630E+01,  0.1158630E+01,  0.1158630E+01,  0.1158630E+01,  0.1158630E+01,  0.9586472E+00,  0.9586472E+00,  0.4975838E+00,  0.4975838E+00,  0.7000302E+00,
