TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,
  0.1800000E+04,  0.1800000E+04,         1,         1,         1,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,
  0.3600000E+04,  0.1800000E+04,         1,         2,         1,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,
  0.5400000E+04,  0.1800000E+04,         2,         1,         1,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,
  0.7200000E+04,  0.1800000E+04,         2,         2,         1,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.3000000E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,
  0.9000000E+04,  0.1800000E+04,         3,         1,         1,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.3000009E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,
  0.1080000E+05,  0.1800000E+04,         3,         2,         1,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.3000026E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,
  0.1260000E+05,  0.1800000E+04,         4,         1,         1,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.3000078E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,  0.2000000E+01,
  0.1440000E+05,  0.1800000E+04,         4,         2,         1,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.3000162E+01,  0.2000001E+01,  0.2000001E+01,  0.2000001E+01,  0.2000001E+01,
  0.1620000E+05,  0.1800000E+04,         5,         1,         1,  0.3000430E+01,  0.3000426E+01,  0.3000425E+01,  0.3000425E+01,  0.3000425E+01,  0.3000425E+01,  0.3000425E+01,  0.3000425E+01,  0.3000425E+01,  0.3000425E+01,  0.3000425E+01,  0.3000425E+01,  0.3000425E+01,  0.3000425E+01,  0.2000006E+01,  0.2000006E+01,  0.2000006E+01,  0.2000006E+01,
  0.1800000E+05,  0.1800000E+04,         5,         2,         1,  0.3000882E+01,  0.3000869E+01,  0.3000868E+01,  0.3000868E+01,  0.3000867E+01,  0.3000867E+01,  0.3000867E+01,  0.3000867E+01,  0.3000868E+01,  0.3000868E+01,  0.3000867E+01,  0.3000867E+01,  0.3000867E+01,  0.3000867E+01,  0.2000023E+01,  0.2000023E+01,  0.2000023E+01,  0.2000023E+01,
