TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,STAGE0000000019,
  0.9999995E+00,  0.6945014E-02,         1,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.9958389E+00,  0.9958389E+00,  0.5006961E+00,  0.5006955E+00,  0.7004294E+00,
  0.2000000E+01,  0.6945252E-02,         2,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1225939E+01,  0.1225939E+01,  0.1225939E+01,  0.1225939E+01,  0.1225939E+01,  0.1225939E+01,  0.1225939E+01,  0.1225939E+01,  0.9916863E+00,  0.9916863E+00,  0.5005647E+00,  0.5005644E+00,  0.7003969E+00,
  0.2999999E+01,  0.6944656E-02,         3,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1213621E+01,  0.1213621E+01,  0.1213621E+01,  0.1213621E+01,  0.1213621E+01,  0.1213621E+01,  0.1213621E+01,  0.1213621E+01,  0.9875277E+00,  0.9875277E+00,  0.5004421E+00,  0.5004418E+00,  0.7003542E+00,
  0.4000000E+01,  0.6944656E-02,         4,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.9833631E+00,  0.9833631E+00,  0.5003277E+00,  0.5003276E+00,  0.7003129E+00,
  0.5000006E+01,  0.6951332E-02,         5,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.9791929E+00,  0.9791929E+00,  0.5002145E+00,  0.5002145E+00,  0.7002739E+00,
  0.6000005E+01,  0.6951332E-02,         6,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.9750184E+00,  0.9750184E+00,  0.5001266E+00,  0.5001266E+00,  0.7002336E+00,
  0.7000004E+01,  0.6951332E-02,         7,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1184566E+01,  0.1184566E+01,  0.1184566E+01,  0.1184566E+01,  0.1184566E+01,  0.1184566E+01,  0.1184566E+01,  0.1184566E+01,  0.9712226E+00,  0.9712226E+00,  0.4998642E+00,  0.4998642E+00,  0.7001823E+00,
  0.8000003E+01,  0.6951332E-02,         8,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1175280E+01,  0.1175280E+01,  0.1175280E+01,  0.1175280E+01,  0.1175280E+01,  0.1175280E+01,  0.1175280E+01,  0.1175280E+01,  0.9670438E+00,  0.9670438E+00,  0.4992880E+00,  0.4992880E+00,  0.7001389E+00,
  0.8999990E+01,  0.6937981E-02,         9,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1166700E+01,  0.1166700E+01,  0.1166700E+01,  0.1166700E+01,  0.1166700E+01,  0.1166700E+01,  0.1166700E+01,  0.1166700E+01,  0.9628638E+00,  0.9628638E+00,  0.4985248E+00,  0.4985248E+00,  0.7000956E+00,
  0.9999992E+01,  0.6937981E-02,        10,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1158622E+01,  0.1158622E+01,  0.1158622E+01,  0.1158622E+01,  0.1158622E+01,  0.1158622E+01,  0.1158622E+01,  0.1158622E+01,  0.9586832E+00,  0.9586832E+00,  0.4978221E+00,  0.4978221E+00,  0.7000368E+00,
