TOTIME         ,SWRDT          ,KPER      ,KSTP      ,KSWR      ,STAGE0000000001,STAGE0000000002,STAGE0000000003,STAGE0000000004,STAGE0000000005,STAGE0000000006,STAGE0000000007,STAGE0000000008,STAGE0000000009,STAGE0000000010,STAGE0000000011,STAGE0000000012,STAGE0000000013,STAGE0000000014,STAGE0000000015,STAGE0000000016,STAGE0000000017,STAGE0000000018,STAGE0000000019,
  0.9999995E+00,  0.6945014E-02,         1,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.1230880E+01,  0.9958389E+00,  0.9958389E+00,  0.5007032E+00,  0.5007027E+00,  0.7004278E+00,
  0.2000000E+01,  0.6945252E-02,         2,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1225937E+01,  0.1225937E+01,  0.1225937E+01,  0.1225937E+01,  0.1225937E+01,  0.1225937E+01,  0.1225937E+01,  0.1225937E+01,  0.9916857E+00,  0.9916857E+00,  0.5005669E+00,  0.5005667E+00,  0.7003972E+00,
  0.2999999E+01,  0.6944656E-02,         3,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.1213619E+01,  0.9875272E+00,  0.9875272E+00,  0.5004376E+00,  0.5004373E+00,  0.7003537E+00,
  0.4000000E+01,  0.6944656E-02,         4,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.1202887E+01,  0.9833626E+00,  0.9833626E+00,  0.5003367E+00,  0.5003366E+00,  0.7003164E+00,
  0.5000006E+01,  0.6951332E-02,         5,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.1193132E+01,  0.9791923E+00,  0.9791923E+00,  0.5002243E+00,  0.5002243E+00,  0.7002746E+00,
  0.6000005E+01,  0.6951332E-02,         6,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.1184071E+01,  0.9750179E+00,  0.9750179E+00,  0.5001341E+00,  0.5001341E+00,  0.7002336E+00,
  0.7000004E+01,  0.6951332E-02,         7,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1184564E+01,  0.1184564E+01,  0.1184564E+01,  0.1184564E+01,  0.1184564E+01,  0.1184564E+01,  0.1184564E+01,  0.1184564E+01,  0.9712219E+00,  0.9712219E+00,  0.5000616E+00,  0.5000616E+00,  0.7001913E+00,
  0.8000003E+01,  0.6951332E-02,         8,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1175277E+01,  0.1175277E+01,  0.1175277E+01,  0.1175277E+01,  0.1175277E+01,  0.1175277E+01,  0.1175277E+01,  0.1175277E+01,  0.9670429E+00,  0.9670429E+00,  0.4996089E+00,  0.4996089E+00,  0.7001456E+00,
  0.8999990E+01,  0.6937981E-02,         9,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1166694E+01,  0.1166694E+01,  0.1166694E+01,  0.1166694E+01,  0.1166694E+01,  0.1166694E+01,  0.1166694E+01,  0.1166694E+01,  0.9628625E+00,  0.9628625E+00,  0.4990611E+00,  0.4990611E+00,  0.7000959E+00,
  0.9999992E+01,  0.6937981E-02,        10,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1158619E+01,  0.1158619E+01,  0.1158619E+01,  0.1158619E+01,  0.1158619E+01,  0.1158619E+01,  0.1158619E+01,  0.1158619E+01,  0.9586820E+00,  0.9586820E+00,  0.4982009E+00,  0.4982009E+00,  0.7000347E+00,
  0.1099999E+02,  0.6937981E-02,        11,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1150906E+01,  0.1150906E+01,  0.1150906E+01,  0.1150906E+01,  0.1150906E+01,  0.1150906E+01,  0.1150906E+01,  0.1150906E+01,  0.9545012E+00,  0.9545012E+00,  0.4969923E+00,  0.4969923E+00,  0.6998366E+00,
  0.1200000E+02,  0.6937981E-02,        12,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1143508E+01,  0.1143508E+01,  0.1143508E+01,  0.1143508E+01,  0.1143508E+01,  0.1143508E+01,  0.1143508E+01,  0.1143508E+01,  0.9503207E+00,  0.9503207E+00,  0.4960145E+00,  0.4960145E+00,  0.6991547E+00,
  0.1300000E+02,  0.6937981E-02,        13,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1136383E+01,  0.1136383E+01,  0.1136383E+01,  0.1136383E+01,  0.1136383E+01,  0.1136383E+01,  0.1136383E+01,  0.1136383E+01,  0.9461412E+00,  0.9461412E+00,  0.4950919E+00,  0.4950919E+00,  0.6980577E+00,
  0.1400000E+02,  0.6937981E-02,        14,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1129498E+01,  0.1129498E+01,  0.1129498E+01,  0.1129498E+01,  0.1129498E+01,  0.1129498E+01,  0.1129498E+01,  0.1129498E+01,  0.9419631E+00,  0.9419631E+00,  0.4941054E+00,  0.4941054E+00,  0.6966387E+00,
  0.1500000E+02,  0.6937981E-02,        15,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1122834E+01,  0.1122834E+01,  0.1122834E+01,  0.1122834E+01,  0.1122834E+01,  0.1122834E+01,  0.1122834E+01,  0.1122834E+01,  0.9377871E+00,  0.9377871E+00,  0.4930647E+00,  0.4930647E+00,  0.6949744E+00,
  0.1600000E+02,  0.6937981E-02,        16,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1116378E+01,  0.1116378E+01,  0.1116378E+01,  0.1116378E+01,  0.1116378E+01,  0.1116378E+01,  0.1116378E+01,  0.1116378E+01,  0.9336135E+00,  0.9336135E+00,  0.4919790E+00,  0.4919790E+00,  0.6931273E+00,
  0.1700001E+02,  0.6942749E-02,        17,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1110119E+01,  0.1110119E+01,  0.1110119E+01,  0.1110119E+01,  0.1110119E+01,  0.1110119E+01,  0.1110119E+01,  0.1110119E+01,  0.9294429E+00,  0.9294429E+00,  0.4910156E+00,  0.4910156E+00,  0.6911485E+00,
  0.1800000E+02,  0.6942749E-02,        18,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1104049E+01,  0.1104049E+01,  0.1104049E+01,  0.1104049E+01,  0.1104049E+01,  0.1104049E+01,  0.1104049E+01,  0.1104049E+01,  0.9252756E+00,  0.9252756E+00,  0.4899964E+00,  0.4899965E+00,  0.6890796E+00,
  0.1900000E+02,  0.6942749E-02,        19,         6,        24,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1560000E+01,  0.1207017E+01,  0.1207017E+01,  0.1207017E+01,  0.1207017E+01,  0.1207017E+01,  0.1207017E+01,  0.1207017E+01,  0.1207017E+01,  0.1055158E+01,  0.1055158E+01,  0.7107998E+00,  0.5427943E+00,  0.7131833E+00,
  0.1999999E+02,  0.6942749E-02,        20,         6,        24,  0.1548000E+01,  0.1548000E+01,  0.1548000E+01,  0.1548000E+01,  0.1548000E+01,  0.1548000E+01,  0.1199735E+01,  0.1199735E+01,  0.1199735E+01,  0.1199735E+01,  0.1199735E+01,  0.1199735E+01,  0.1199735E+01,  0.1199735E+01,  0.1033204E+01,  0.1033204E+01,  0.5664690E+00,  0.5187146E+00,  0.7004051E+00,
  0.2099999E+02,  0.6942749E-02,        21,         6,        24,  0.1541000E+01,  0.1541000E+01,  0.1541000E+01,  0.1541000E+01,  0.1541000E+01,  0.1541000E+01,  0.1217341E+01,  0.1217341E+01,  0.1217341E+01,  0.1217341E+01,  0.1217341E+01,  0.1217341E+01,  0.1217341E+01,  0.1217341E+01,  0.1008743E+01,  0.1008743E+01,  0.5226720E+00,  0.5108617E+00,  0.7004149E+00,
  0.2199999E+02,  0.6942749E-02,        22,         6,        24,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1197563E+01,  0.1197563E+01,  0.1197563E+01,  0.1197563E+01,  0.1197563E+01,  0.1197563E+01,  0.1197563E+01,  0.1197563E+01,  0.1016189E+01,  0.1016189E+01,  0.5223115E+00,  0.5097938E+00,  0.7003914E+00,
  0.2299998E+02,  0.6942749E-02,        23,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1215183E+01,  0.1215183E+01,  0.1215183E+01,  0.1215183E+01,  0.1215183E+01,  0.1215183E+01,  0.1215183E+01,  0.1215183E+01,  0.9991702E+00,  0.9991702E+00,  0.5006371E+00,  0.5006364E+00,  0.7003446E+00,
  0.2399998E+02,  0.6942749E-02,        24,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1212851E+01,  0.1212851E+01,  0.1212851E+01,  0.1212851E+01,  0.1212851E+01,  0.1212851E+01,  0.1212851E+01,  0.1212851E+01,  0.9949778E+00,  0.9949778E+00,  0.5004549E+00,  0.5004547E+00,  0.7002984E+00,
  0.2499998E+02,  0.6942749E-02,        25,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1201975E+01,  0.1201975E+01,  0.1201975E+01,  0.1201975E+01,  0.1201975E+01,  0.1201975E+01,  0.1201975E+01,  0.1201975E+01,  0.9907800E+00,  0.9907800E+00,  0.5003789E+00,  0.5003787E+00,  0.7002557E+00,
  0.2599997E+02,  0.6942749E-02,        26,         6,        24,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1535000E+01,  0.1192136E+01,  0.1192136E+01,  0.1192136E+01,  0.1192136E+01,  0.1192136E+01,  0.1192136E+01,  0.1192136E+01,  0.1192136E+01,  0.9865777E+00,  0.9865777E+00,  0.5002116E+00,  0.5002115E+00,  0.7002105E+00,
  0.2699997E+02,  0.6942749E-02,        27,         6,        24,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1538000E+01,  0.1229695E+01,  0.1229695E+01,  0.1229695E+01,  0.1229695E+01,  0.1229695E+01,  0.1229695E+01,  0.1229695E+01,  0.1229695E+01,  0.9851655E+00,  0.9851655E+00,  0.5010831E+00,  0.5010686E+00,  0.7021870E+00,
  0.2799996E+02,  0.6942749E-02,        28,         6,        24,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1537000E+01,  0.1241924E+01,  0.1241924E+01,  0.1241924E+01,  0.1241924E+01,  0.1241924E+01,  0.1241924E+01,  0.1241924E+01,  0.1241924E+01,  0.9826099E+00,  0.9826099E+00,  0.5006298E+00,  0.5006285E+00,  0.7012064E+00,
  0.2899996E+02,  0.6942749E-02,        29,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1235039E+01,  0.1235039E+01,  0.1235039E+01,  0.1235039E+01,  0.1235039E+01,  0.1235039E+01,  0.1235039E+01,  0.1235039E+01,  0.9784101E+00,  0.9784101E+00,  0.5001640E+00,  0.5001640E+00,  0.7001287E+00,
  0.2999996E+02,  0.6942749E-02,        30,         6,        24,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1536000E+01,  0.1228816E+01,  0.1228816E+01,  0.1228816E+01,  0.1228816E+01,  0.1228816E+01,  0.1228816E+01,  0.1228816E+01,  0.1228816E+01,  0.9742156E+00,  0.9742156E+00,  0.5001125E+00,  0.5001125E+00,  0.7001016E+00,
  0.3099995E+02,  0.6942749E-02,        31,         6,        24,  0.1555000E+01,  0.1555000E+01,  0.1555000E+01,  0.1555000E+01,  0.1555000E+01,  0.1555000E+01,  0.1205579E+01,  0.1205579E+01,  0.1205579E+01,  0.1205579E+01,  0.1205579E+01,  0.1205579E+01,  0.1205579E+01,  0.1205579E+01,  0.1046646E+01,  0.1046646E+01,  0.6598747E+00,  0.5342001E+00,  0.7076710E+00,
  0.3199995E+02,  0.6942749E-02,        32,         6,        24,  0.1569000E+01,  0.1569000E+01,  0.1569000E+01,  0.1569000E+01,  0.1569000E+01,  0.1569000E+01,  0.1245647E+01,  0.1245647E+01,  0.1245647E+01,  0.1245647E+01,  0.1245647E+01,  0.1245647E+01,  0.1245647E+01,  0.1245647E+01,  0.1067823E+01,  0.1067823E+01,  0.8489606E+00,  0.5689802E+00,  0.8490193E+00,
  0.3299999E+02,  0.6977081E-02,        33,         6,        24,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1540000E+01,  0.1244170E+01,  0.1244170E+01,  0.1244170E+01,  0.1244170E+01,  0.1244170E+01,  0.1244170E+01,  0.1244170E+01,  0.1244170E+01,  0.1009497E+01,  0.1009497E+01,  0.5280682E+00,  0.5123552E+00,  0.7028541E+00,
